OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.16,1587.6,2179.6,3.0098,1.3729,1321.75152630061,0.606414846488565,0.363848907893139,0.242565938595426
1.6,2.49329,1988.5,1643.5,2260.2,3.056,1.3752,1323.96583798427,0.585788993176298,0.360485534262337,0.225303458913961
1.7,2.346626,2169.23,1689.9,2327.9,3.1009,1.3775,1326.18014966793,0.569704840691902,0.35870304784305,0.211001792848853
1.8,2.216257,2338.49,1728.2,2384.2,3.1417,1.3796,1328.20191250952,0.557079163456339,0.358122319364789,0.19895684409155
1.9,2.099612,2495.16,1759.2,2430.4,3.1785,1.3815,1330.03112650907,0.547262511530949,0.358551300658208,0.188711210872741
2,1.994632,2638.2,1783.8,2467.4,3.2115,1.3832,1331.66779166655,0.539715332596281,0.359810221730854,0.179905110865427
2.1,1.899649,2766.97,1802.6,2496.1,3.2406,1.3848,1333.20818240301,0.534086436416979,0.361800489185695,0.172285947231283
2.2,1.813302,2881.34,1816.3,2517.6,3.2661,1.3861,1334.45974987638,0.530057925609891,0.3644148238568,0.165643101753091
2.3,1.734462,2981.56,1825.7,2532.7,3.2883,1.3873,1335.61504292872,0.527328811023304,0.367532201622302,0.159796609401001
2.4,1.662193,3068.16,1831.3,2542.4,3.3076,1.3883,1336.57778713901,0.525716272749001,0.37109383958753,0.154622433161471
2.5,1.595705,3141.83,1833.7,2547.3,3.3241,1.3892,1337.44425692826,0.52502819997014,0.375020142835814,0.150008057134326
2.6,1.534332,3203.45,1833.3,2548.1,3.3382,1.3899,1338.11817787546,0.5251427536602,0.379269766532367,0.145872987127833
2.7,1.477505,3254.08,1830.7,2545.6,3.3501,1.3905,1338.69582440163,0.52588857283293,0.383756526121328,0.142132046711603
2.8,1.424737,3294.93,1826.2,2540.4,3.3602,1.3911,1339.27347092781,0.527184432310396,0.388451686965555,0.138732745344841
2.9,1.375608,3327.3,1820.3,2532.9,3.3686,1.3915,1339.65856861192,0.528893155131157,0.393279525610348,0.13561362952081
3,1.329754,3352.51,1813.2,2523.8,3.3756,1.3919,1340.04366629603,0.530964157448293,0.39822311808622,0.132741039362073
3.1,1.286859,3371.75,1805.4,2513.5,3.3815,1.3922,1340.33248955912,0.533258120242188,0.403195164085557,0.130062956156631
3.2,1.246645,3386.09,1797,2502.3,3.3864,1.3925,1340.6213128222,0.535750812623954,0.408191095332536,0.127559717291418
3.3,1.208868,3396.41,1788.3,2490.5,3.3906,1.3927,1340.81386166426,0.538357216510231,0.413157863833433,0.125199352676798
3.4,1.173313,3403.47,1779.3,2478.3,3.394,1.3929,1341.00641050632,0.541080318262938,0.418107518657725,0.122972799605213
3.5,1.13979,3407.85,1770.2,2465.9,3.397,1.393,1341.10268492735,0.543861829332982,0.423003645036764,0.120858184296218
3.6,1.108129,3410.06,1761.1,2453.4,3.3994,1.3932,1341.2952337694,0.546672085790271,0.427830328009777,0.118841757780494
3.7,1.078179,3410.46,1752,2440.9,3.4015,1.3933,1341.39150819043,0.549511535550939,0.432594187561378,0.116917347989561
3.8,1.049806,3409.38,1742.9,2428.5,3.4032,1.3934,1341.48778261146,0.552380635885734,0.437301336742873,0.115079299142861
3.9,1.022888,3407.07,1734,2416.2,3.4046,1.3934,1341.48778261146,0.555215807546278,0.441906459067446,0.113309348478832
4,0.997316,3403.72,1725.2,2404,3.4058,1.3935,1341.58405703249,0.55804788446861,0.446438307574888,0.111609576893722
