OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.92,1587.5,1994,2.034,1.2561,636.475264494367,0.319185813604723,0.191511488162834,0.127674325441889
1.6,2.49329,1987.93,1643.3,2065.4,2.0571,1.2569,636.880630477645,0.308347519684475,0.189752319805831,0.118595199878644
1.7,2.346626,2167.58,1689.4,2124.7,2.078,1.2577,637.285996460923,0.299933395937906,0.188846952997941,0.111086442939965
1.8,2.216257,2334.61,1727,2173.3,2.0969,1.2585,637.691362444201,0.293403288417775,0.188616399697141,0.104786888720634
1.9,2.099612,2487.55,1756.9,2212.3,2.1137,1.2592,638.046057679569,0.288409971596276,0.188958257252733,0.0994517143435435
2,1.994632,2625.32,1780.1,2242.6,2.1284,1.2598,638.350082167028,0.284651131451883,0.189767420967922,0.0948837104839611
2.1,1.899649,2747.53,1797.4,2265.4,2.1412,1.2604,638.654106654486,0.281911360352452,0.190972211851661,0.090939148500791
2.2,1.813302,2854.45,1809.5,2281.5,2.1522,1.2609,638.907460394035,0.280026238793864,0.192518039170782,0.0875081996230826
2.3,1.734462,2946.79,1817.2,2292,2.1617,1.2613,639.110143385674,0.278839686934568,0.194342812105911,0.0844968748286571
2.4,1.662193,3025.43,1821.3,2297.8,2.1699,1.2616,639.262155629403,0.278211979957996,0.196384927029173,0.0818270529288223
2.5,1.595705,3091.42,1822.2,2299.5,2.1768,1.262,639.464838621042,0.278074568706782,0.198624691933416,0.0794498767733662
2.6,1.534332,3145.89,1820.6,2298,2.1827,1.2622,639.566180116862,0.278318949301053,0.201008130050761,0.0773108192502926
2.7,1.477505,3190.14,1816.8,2293.7,2.1876,1.2625,639.718192360591,0.278901078323149,0.203522408506082,0.0753786698170674
2.8,1.424737,3225.5,1811.5,2287.3,2.1918,1.2627,639.81953385641,0.279717073749654,0.206107317499745,0.0736097562499089
2.9,1.375608,3253.32,1804.8,2279.2,2.1952,1.2628,639.87020460432,0.280755473790723,0.208766890767461,0.0719885830232624
3,1.329754,3274.86,1797.3,2269.9,2.1982,1.263,639.97154610014,0.281927045622599,0.211445284216949,0.0704817614056498
3.1,1.286859,3291.23,1789.1,2259.8,2.2006,1.2631,640.022216848049,0.283219204682521,0.214141349881906,0.0690778548006148
3.2,1.246645,3303.37,1780.5,2249,2.2027,1.2632,640.072887595959,0.284587182868575,0.216828329804629,0.0677588530639464
3.3,1.208868,3312.08,1771.6,2237.9,2.2044,1.2632,640.072887595959,0.286016865600304,0.219501315460698,0.0665155501396055
3.4,1.173313,3317.98,1762.5,2226.6,2.2059,1.2633,640.123558343869,0.287493605161701,0.222154149443132,0.0653394557185684
3.5,1.13979,3321.59,1753.4,2215.2,2.2072,1.2634,640.174229091779,0.288985673033819,0.224766634581859,0.0642190384519597
3.6,1.108129,3323.32,1744.3,2203.8,2.2082,1.2634,640.174229091779,0.290493309119703,0.227342589745854,0.0631507193738484
3.7,1.078179,3323.5,1735.2,2192.4,2.2092,1.2635,640.224899839688,0.292016758354943,0.229885533173041,0.0621312251819028
3.8,1.049806,3322.39,1726.3,2181.1,2.2099,1.2635,640.224899839688,0.293522260961303,0.232371789927698,0.0611504710336048
3.9,1.022888,3320.2,1717.4,2170,2.2106,1.2635,640.224899839688,0.295043367356177,0.234830435242671,0.0602129321135054
4,0.997316,3317.12,1708.7,2159.1,2.2111,1.2636,640.275570587598,0.29654560724381,0.237236485795048,0.0593091214487619
