OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.48,1587.4,1466.4,1.109,0.9238,140.428910757081,0.0957617763192953,0.0574570657915772,0.0383047105277181
1.6,2.49329,1986.3,1642.7,1515.3,1.1124,0.9224,140.21609361586,0.0925380433002066,0.0569464881847425,0.0355915551154641
1.7,2.346626,2162.81,1687.7,1554.8,1.1154,0.9212,140.033678923384,0.0900706545767905,0.0567111528816829,0.0333595016951076
1.8,2.216257,2323.75,1723.5,1586,1.118,0.9202,139.881666679655,0.0881997352650127,0.0566998298132224,0.0314999054517902
1.9,2.099612,2467.27,1750.9,1609.8,1.1202,0.9194,139.760056884672,0.0868194892508135,0.0568817343367399,0.0299377549140736
2,1.994632,2592.75,1771,1627,1.1221,0.9187,139.653648314061,0.0858341297172498,0.0572227531448332,0.0286113765724166
2.1,1.899649,2700.86,1784.8,1638.7,1.1238,0.9181,139.562440967824,0.0851704637658277,0.0576961206155607,0.027474343150267
2.2,1.813302,2792.92,1793.6,1645.9,1.1251,0.9176,139.486434845959,0.0847525890551123,0.0582674049753897,0.0264851840797226
2.3,1.734462,2870.46,1798.3,1649.4,1.1263,0.9172,139.425629948467,0.0845310814264857,0.0589156022063385,0.0256154792201472
2.4,1.662193,2934.99,1799.5,1649.9,1.1273,0.9169,139.380026275349,0.0844747117139479,0.0596292082686691,0.0248455034452788
2.5,1.595705,2987.99,1798,1648,1.1281,0.9166,139.33442260223,0.0845451856113734,0.0603894182938381,0.0241557673175352
2.6,1.534332,3030.92,1794.3,1644.2,1.1288,0.9163,139.288818929111,0.0847195250121213,0.0611863236198654,0.0235332013922559
2.7,1.477505,3065.24,1788.9,1638.9,1.1294,0.9161,139.258416480365,0.0849752606234274,0.062008973968447,0.0229662866549804
2.8,1.424737,3092.33,1782.3,1632.5,1.1299,0.916,139.243215255992,0.0852899308361383,0.0628452121950493,0.022444718641089
2.9,1.375608,3113.47,1774.7,1625.3,1.1303,0.9158,139.212812807247,0.0856551776239642,0.0636923115665375,0.0219628660574267
3,1.329754,3129.73,1766.4,1617.5,1.1307,0.9157,139.197611582874,0.0860576560967218,0.0645432420725413,0.0215144140241804
3.1,1.286859,3142.03,1757.8,1609.4,1.131,0.9156,139.182410358501,0.0864786913922228,0.0653863276380222,0.0210923637542007
3.2,1.246645,3151.11,1748.8,1601.1,1.1313,0.9155,139.167209134128,0.0869237441269724,0.0662276145729313,0.020696129554041
3.3,1.208868,3157.58,1739.7,1592.6,1.1315,0.9154,139.152007909755,0.0873784237105532,0.0670578600569361,0.020320563653617
3.4,1.173313,3161.91,1730.6,1584.1,1.1317,0.9154,139.152007909755,0.0878378849700967,0.0678747292950747,0.019963155675022
3.5,1.13979,3164.5,1721.5,1575.7,1.1318,0.9153,139.136806685382,0.0883022037346787,0.068679491793639,0.0196227119410397
3.6,1.108129,3165.63,1712.5,1567.4,1.132,0.9153,139.136806685382,0.0887662737105105,0.0694692576864865,0.019297016024024
3.7,1.078179,3165.57,1703.6,1559.1,1.1321,0.9152,139.121605461009,0.0892300092329475,0.0702449008855119,0.0189851083474356
3.8,1.049806,3164.5,1694.8,1551,1.1322,0.9152,139.121605461009,0.0896933229462174,0.0710072139990888,0.0186861089471286
3.9,1.022888,3162.59,1686.1,1543,1.1323,0.9151,139.106404236636,0.090156125810598,0.0717569164614964,0.0183992093491016
4,0.997316,3159.97,1677.6,1535.2,1.1324,0.9151,139.106404236636,0.0906129254466198,0.0724903403572958,0.0181225850893239
