OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.29,1587.7,2236.7,3.4901,1.4088,1713.23879172613,0.765949455082191,0.459569673049315,0.306379782032876
1.6,2.49329,1988.67,1643.5,2320.3,3.5498,1.4118,1716.88708557563,0.739943991380587,0.4553501485419,0.284593842838687
1.7,2.346626,2169.71,1690.1,2390.8,3.6066,1.4146,1720.29215983517,0.719542009250337,0.453044968787249,0.266497040463088
1.8,2.216257,2339.65,1728.6,2449.7,3.6595,1.4172,1723.45401450474,0.703516111207911,0.452260357205086,0.251255754002825
1.9,2.099612,2497.48,1759.9,2498.4,3.7077,1.4196,1726.37264958434,0.6910040058151,0.452726762430583,0.238277243384517
2,1.994632,2642.21,1784.9,2537.7,3.7511,1.4218,1729.04806507397,0.681325536351613,0.454217024234409,0.227108512117204
2.1,1.899649,2773.16,1804.2,2568.6,3.7896,1.4237,1731.35865117866,0.674037218619884,0.45660585777476,0.217431360845124
2.2,1.813302,2890.08,1818.5,2592.1,3.8236,1.4254,1733.42601769338,0.668736843461091,0.4597565798795,0.208980263581591
2.3,1.734462,2993.1,1828.5,2609,3.8534,1.4269,1735.25016461813,0.665079545985231,0.46354028962607,0.201539256359161
2.4,1.662193,3082.6,1834.7,2620.2,3.8793,1.4281,1736.70948215793,0.662832043295359,0.467881442326135,0.194950600969223
2.5,1.595705,3159.16,1837.6,2626.4,3.9016,1.4293,1738.16879969773,0.661785997950585,0.472704284250418,0.189081713700167
2.6,1.534332,3223.52,1837.7,2628.3,3.9207,1.4302,1739.26328785258,0.661749986305705,0.477930545665232,0.183819440640474
2.7,1.477505,3276.65,1835.5,2626.6,3.9369,1.431,1740.23616621245,0.662543148915279,0.483477432992231,0.179065715923048
2.8,1.424737,3319.69,1831.4,2622,3.9505,1.4317,1741.08743477733,0.664026400477227,0.489282610877957,0.17474378959927
2.9,1.375608,3353.93,1825.7,2614.9,3.962,1.4323,1741.81709354723,0.666099550766278,0.49530479415954,0.170794756606738
3,1.329754,3380.65,1818.9,2606.1,3.9716,1.4328,1742.42514252215,0.668589779445816,0.501442334584362,0.167147444861454
3.1,1.286859,3401.08,1811.2,2595.8,3.9796,1.4332,1742.91158170208,0.671432171948981,0.507668227571181,0.1637639443778
3.2,1.246645,3416.33,1803,2584.5,3.9863,1.4335,1743.27641108703,0.674485829081528,0.513893965014497,0.16059186406703
3.3,1.208868,3427.34,1794.3,2572.6,3.9918,1.4338,1743.64124047198,0.677756200096971,0.520138479144187,0.157617720952784
3.4,1.173313,3434.89,1785.3,2560.2,3.9965,1.434,1743.88446006195,0.681172884016129,0.526360864921554,0.154812019094575
3.5,1.13979,3439.6,1776.3,2547.5,4.0004,1.4342,1744.12767965191,0.684624190640092,0.53248548160896,0.152138709031131
3.6,1.108129,3442.01,1767.1,2534.7,4.0037,1.4344,1744.37089924188,0.688188529134737,0.538582327148925,0.149606201985812
3.7,1.078179,3442.52,1758,2521.9,4.0064,1.4345,1744.49250903687,0.691750824706482,0.544569798173188,0.147181026533294
3.8,1.049806,3441.47,1748.9,2509.1,4.0087,1.4346,1744.61411883185,0.695350191454054,0.550485568234459,0.144864623219594
3.9,1.022888,3439.11,1740,2496.4,4.0106,1.4347,1744.73572862683,0.698906867720687,0.556272813083812,0.142634054636875
4,0.997316,3435.67,1731.1,2483.8,4.0122,1.4348,1744.85733842182,0.70250011543758,0.562000092350064,0.140500023087516
