OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.4,1587.7,2271.8,3.853,1.4309,2030.13364915371,0.893607697595889,0.536164618557534,0.357443079038356
1.6,2.49329,1988.78,1643.6,2357.3,3.9226,1.4343,2034.95750435471,0.863215466946333,0.531209518120821,0.332005948825513
1.7,2.346626,2170.01,1690.2,2429.6,3.9893,1.4375,2039.49760336743,0.839416010811143,0.528521191992201,0.310894818818942
1.8,2.216257,2340.35,1728.8,2490.2,4.0518,1.4404,2043.6120680977,0.820673843980214,0.527576042558709,0.293097801421505
1.9,2.099612,2498.89,1760.3,2540.4,4.1091,1.4432,2047.58465473382,0.805988150583988,0.528061202106751,0.277926948477237
2,1.994632,2644.66,1785.6,2581.2,4.1608,1.4456,2050.98972899336,0.79456817958837,0.52971211972558,0.26485605986279
2.1,1.899649,2776.99,1805.2,2613.6,4.2071,1.4478,2054.1110470646,0.785941137532126,0.532411738328214,0.253529399203912
2.2,1.813302,2895.55,1819.9,2638.4,4.248,1.4497,2056.8067308534,0.779592802611678,0.535970051795529,0.243622750816149
2.3,1.734462,3000.38,1830.2,2656.5,4.2839,1.4514,2059.2186584539,0.775205410049718,0.540294679731621,0.234910730318096
2.4,1.662193,3091.79,1836.8,2668.7,4.3153,1.4529,2061.34682986611,0.772419937648625,0.545237603046088,0.227182334602537
2.5,1.595705,3170.26,1840.1,2675.8,4.3424,1.4542,2063.19124509003,0.77103469456714,0.550739067547957,0.220295627019183
2.6,1.534332,3236.47,1840.5,2678.5,4.3656,1.4553,2064.75190412565,0.770867123864707,0.556737367235622,0.214129756629085
2.7,1.477505,3291.3,1838.6,2677.4,4.3854,1.4562,2066.02880697297,0.771663734076468,0.563105968109855,0.208557765966613
2.8,1.424737,3335.85,1834.7,2673.2,4.4021,1.457,2067.16383172615,0.773304050511252,0.569802984587238,0.203501065924014
2.9,1.375608,3371.37,1829.3,2666.5,4.4161,1.4577,2068.15697838518,0.775586804500625,0.576718393090208,0.198868411410417
3,1.329754,3399.14,1822.6,2657.8,4.4278,1.4582,2068.86636885592,0.778437913679904,0.583828435259928,0.194609478419976
3.1,1.286859,3420.41,1815,2647.6,4.4376,1.4587,2069.57575932666,0.781697488414873,0.591039564411245,0.190657924003627
3.2,1.246645,3436.31,1806.9,2636.4,4.4457,1.4591,2070.14327170324,0.785201694323423,0.598248909960703,0.18695278436272
3.3,1.208868,3447.8,1798.2,2624.4,4.4525,1.4594,2070.56890598569,0.78900063478645,0.605512115068671,0.183488519717779
3.4,1.173313,3455.69,1789.3,2611.8,4.4582,1.4597,2070.99454026813,0.792925133556695,0.612714875930173,0.180210257626522
3.5,1.13979,3460.64,1780.2,2599,4.4629,1.4599,2071.27829645642,0.796978396513309,0.619872086177018,0.177106310336291
3.6,1.108129,3463.2,1771.1,2586,4.4669,1.4601,2071.56205264472,0.801073311203768,0.626926939202949,0.174146372000819
3.7,1.078179,3463.79,1762,2572.9,4.4702,1.4603,2071.84580883301,0.805210522969917,0.633889135103977,0.17132138786594
3.8,1.049806,3462.75,1752.9,2559.9,4.4729,1.4604,2071.98768692716,0.809390690554506,0.640767630022317,0.168623060532189
3.9,1.022888,3460.37,1743.9,2547,4.4752,1.4605,2072.12956502131,0.813567831568894,0.647533580228303,0.16603425134059
4,0.997316,3456.87,1735,2534.2,4.477,1.4606,2072.27144311545,0.817741176641495,0.654192941313196,0.163548235328299
