OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.98,1587.6,2051.6,2.2675,1.2923,785.781690285236,0.382998850413831,0.229799310248298,0.153199540165532
1.6,2.49329,1988.11,1643.3,2125.7,2.2958,1.2935,786.511349055136,0.37001702362137,0.227702783766997,0.142314239854373
1.7,2.346626,2168.1,1689.5,2187.5,2.322,1.2947,787.241007825036,0.359898771776855,0.22660293037802,0.133295841398835
1.8,2.216257,2335.82,1727.3,2238.4,2.3457,1.2959,787.970666594937,0.352022795644646,0.226300368628701,0.125722427015945
1.9,2.099612,2489.91,1757.6,2279.5,2.3669,1.2969,788.578715569854,0.345954127740668,0.226659600933541,0.119294526807127
2,1.994632,2629.27,1781.3,2311.7,2.3855,1.2978,789.125959647279,0.341351246234209,0.227567497489473,0.113783748744736
2.1,1.899649,2753.43,1799,2336.2,2.4018,1.2986,789.612398827213,0.337992759820454,0.228962837297727,0.109029922522727
2.2,1.813302,2862.52,1811.5,2353.8,2.416,1.2993,790.038033109654,0.335660488499584,0.230766585843464,0.10489390265612
2.3,1.734462,2957.11,1819.7,2365.6,2.4282,1.3,790.463667392096,0.334147922688903,0.232890976419539,0.101256946269365
2.4,1.662193,3038,1824.2,2372.4,2.4386,1.3005,790.767691879555,0.333323634972589,0.235287271745357,0.0980363632272321
2.5,1.595705,3106.13,1825.6,2375,2.4476,1.301,791.071716367013,0.333068018688101,0.237905727634358,0.0951622910537431
2.6,1.534332,3162.57,1824.3,2374,2.4552,1.3013,791.254131059488,0.333305363655647,0.240720540417967,0.0925848232376798
2.7,1.477505,3208.55,1820.8,2370.2,2.4616,1.3017,791.497350649455,0.333946053886752,0.243690363647089,0.0902556902396626
2.8,1.424737,3245.39,1815.7,2364,2.4669,1.302,791.67976534193,0.334884052936607,0.246756670584868,0.0881273823517387
2.9,1.375608,3274.43,1809.3,2356,2.4714,1.3022,791.801375136914,0.336068631469075,0.249897187502645,0.0861714439664295
3,1.329754,3296.94,1801.9,2346.7,2.4752,1.3024,791.922984931897,0.337448790119872,0.253086592589904,0.084362197529968
3.1,1.286859,3314.07,1793.8,2336.5,2.4784,1.3025,791.983789829389,0.338972558209944,0.256296324500201,0.0826762337097424
3.2,1.246645,3326.79,1785.2,2325.6,2.481,1.3027,792.105399624372,0.340605520343377,0.259508967880668,0.0810965524627089
3.3,1.208868,3335.92,1776.3,2314.2,2.4833,1.3028,792.166204521864,0.342312095320046,0.262704631292128,0.0796074640279176
3.4,1.173313,3342.13,1767.3,2302.6,2.4852,1.3029,792.227009419356,0.344055324459343,0.265860932536765,0.078194391922578
3.5,1.13979,3345.94,1758.2,2290.9,2.4868,1.303,792.287814316847,0.345836068090659,0.268983608514957,0.0768524595757021
3.6,1.108129,3347.79,1749.1,2279.1,2.4882,1.3031,792.348619214339,0.347635340985076,0.272062440770929,0.075572900214147
3.7,1.078179,3348.02,1740,2267.4,2.4893,1.3031,792.348619214339,0.349453433860343,0.275101639421972,0.0743517944383709
3.8,1.049806,3346.92,1731,2255.8,2.4903,1.3032,792.409424111831,0.351270349461004,0.278089026656628,0.0731813228043757
3.9,1.022888,3344.69,1722.1,2244.3,2.4911,1.3032,792.409424111831,0.353085752811682,0.281027435911339,0.0720583169003433
4,0.997316,3341.53,1713.4,2233,2.4918,1.3032,792.409424111831,0.354878589306057,0.283902871444845,0.0709757178612113
