OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.26,1587.6,2226.6,3.3967,1.4025,1634.51165069875,0.734081129959842,0.440448677975905,0.293632451983937
1.6,2.49329,1988.64,1643.5,2309.7,3.453,1.4053,1637.77484686414,0.709112991739729,0.436377225685987,0.272735766053742
1.7,2.346626,2169.63,1690.1,2379.7,3.5081,1.4081,1641.03804302953,0.68956109219824,0.43416809508778,0.255392997110459
1.8,2.216257,2339.45,1728.5,2438.2,3.5586,1.4106,1643.95161103434,0.674241944995224,0.433441250354073,0.240800694641151
1.9,2.099612,2497.07,1759.8,2486.4,3.6045,1.4129,1646.63209359877,0.662249802207208,0.433887801446102,0.228362000761106
2,1.994632,2641.5,1784.7,2525.3,3.6458,1.415,1649.07949072281,0.653010142838709,0.435340095225806,0.217670047612903
2.1,1.899649,2772.07,1803.9,2555.8,3.6825,1.4168,1651.17725968627,0.64605976047688,0.4376533861295,0.208406374347381
2.2,1.813302,2888.53,1818.1,2578.9,3.7147,1.4184,1653.04194320935,0.641013806679635,0.440696992092249,0.200316814587386
2.3,1.734462,2991.05,1828,2595.5,3.743,1.4199,1654.79008401223,0.637542233000134,0.444347616939487,0.193194616060647
2.4,1.662193,3080.02,1834.1,2606.4,3.7675,1.4211,1656.18859665454,0.635421842824407,0.448533065523111,0.186888777301296
2.5,1.595705,3156.04,1836.9,2612.4,3.7886,1.4222,1657.47056657666,0.634453264698266,0.453180903355904,0.181272361342362
2.6,1.534332,3219.9,1836.9,2614.1,3.8067,1.4231,1658.51945105839,0.634453264698266,0.458216246726525,0.176237017971741
2.7,1.477505,3272.57,1834.6,2612.2,3.8221,1.4239,1659.45179281993,0.635248665607895,0.463559837065221,0.171688828542674
2.8,1.424737,3315.21,1830.4,2607.5,3.835,1.4245,1660.15104914109,0.636706294757564,0.469152006663468,0.167554288094096
2.9,1.375608,3349.09,1824.7,2600.4,3.8458,1.4251,1660.85030546224,0.638695238627854,0.474927228723276,0.163768009904578
3,1.329754,3375.53,1817.9,2591.4,3.8549,1.4255,1661.31647634301,0.64108432912935,0.480813246847012,0.160271082282337
3.1,1.286859,3395.74,1810.2,2581.1,3.8624,1.4259,1661.78264722378,0.643811292632993,0.486784148088361,0.157027144544633
3.2,1.246645,3410.82,1801.9,2569.9,3.8688,1.4262,1662.13227538436,0.646776847729754,0.492782360175051,0.153994487554703
3.3,1.208868,3421.7,1793.2,2558,3.874,1.4265,1662.48190354494,0.649914790276737,0.498771815793775,0.151142974482962
3.4,1.173313,3429.15,1784.2,2545.6,3.8785,1.4267,1662.71498898532,0.653193140861027,0.504740154301703,0.148452986559324
3.5,1.13979,3433.81,1775.2,2533,3.8822,1.4269,1662.9480744257,0.656504732945158,0.510614792290679,0.14588994065448
3.6,1.108129,3436.18,1766,2520.2,3.8853,1.4271,1663.18115986609,0.659924802901611,0.516462889227348,0.143461913674263
3.7,1.078179,3436.67,1756.9,2507.5,3.8879,1.4272,1663.29770258628,0.663342934671435,0.522206140060492,0.141136794610944
3.8,1.049806,3435.61,1747.8,2494.7,3.8901,1.4273,1663.41424530647,0.666796659757549,0.527880688974727,0.138915970782823
3.9,1.022888,3433.26,1738.9,2482.1,3.8919,1.4274,1663.53078802667,0.670209443857752,0.533432006335762,0.13677743752199
4,0.997316,3429.83,1730,2469.6,3.8933,1.4275,1663.64733074686,0.673657342152743,0.538925873722194,0.134731468430549
