OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.37,1587.7,2263.7,3.7639,1.4258,1950.65151398247,0.861693136967465,0.517015882180479,0.344677254786986
1.6,2.49329,1988.76,1643.6,2348.8,3.8309,1.4291,1955.16627762123,0.832386343126821,0.512237749616505,0.320148593510316
1.7,2.346626,2169.94,1690.2,2420.6,3.8952,1.4322,1959.40741922128,0.809436867567888,0.509645435135337,0.299791432432551
1.8,2.216257,2340.19,1728.7,2480.8,3.9553,1.4351,1963.37493878261,0.791409841825212,0.508763469744779,0.282646372080433
1.9,2.099612,2498.56,1760.2,2530.7,4.0103,1.4377,1966.93202528588,0.777247013727556,0.509230802097364,0.268016211630192
2,1.994632,2644.1,1785.4,2571.1,4.06,1.4401,1970.21548975043,0.766276573072277,0.510851048714851,0.255425524357426
2.1,1.899649,2776.1,1805,2603.1,4.1043,1.4422,1973.08852115691,0.757955785907614,0.513453919485803,0.244501866421811
2.2,1.813302,2894.28,1819.6,2627.6,4.1435,1.4441,1975.68793052468,0.751874144626975,0.516913474431045,0.23496067019593
2.3,1.734462,2998.69,1829.8,2645.5,4.1779,1.4457,1977.87690683438,0.747682912647964,0.521112333057672,0.226570579590292
2.4,1.662193,3089.65,1836.3,2657.4,4.2078,1.4472,1979.92907212473,0.745036319535612,0.525907990260432,0.21912832927518
2.5,1.595705,3167.66,1839.5,2664.4,4.2337,1.4484,1981.570804357,0.743740252005025,0.531243037146447,0.212497214858579
2.6,1.534332,3233.43,1839.9,2666.9,4.2559,1.4495,1983.07572556992,0.743578560553967,0.537028960400087,0.20654960015388
2.7,1.477505,3287.86,1837.9,2665.6,4.2748,1.4504,1984.30702474413,0.744387721618828,0.543201850911037,0.201185870707791
2.8,1.424737,3332.06,1833.9,2661.3,4.2907,1.4512,1985.40151289898,0.746011338438979,0.549692565165564,0.196318773273416
2.9,1.375608,3367.27,1828.4,2654.5,4.3041,1.4518,1986.22237901512,0.748255411049685,0.556395049242073,0.191860361807611
3,1.329754,3394.78,1821.7,2645.8,4.3152,1.4523,1986.9064341119,0.751007407126993,0.563255555345245,0.187751851781748
3.1,1.286859,3415.86,1814.2,2635.6,4.3246,1.4528,1987.59048920868,0.754112111985031,0.570182328574048,0.183929783410983
3.2,1.246645,3431.6,1805.9,2624.3,4.3323,1.4532,1988.13773328611,0.757578046161606,0.577202320885033,0.180375725276573
3.3,1.208868,3442.97,1797.3,2612.3,4.3388,1.4535,1988.54816634417,0.761203023181018,0.584179064301712,0.177023958879307
3.4,1.173313,3450.77,1788.4,2599.8,4.3442,1.4537,1988.82178838289,0.764991161688237,0.59112953403182,0.173861627656418
3.5,1.13979,3455.67,1779.3,2587,4.3488,1.4539,1989.0954104216,0.768903610163122,0.598036141237984,0.170867468925138
3.6,1.108129,3458.19,1770.2,2574.1,4.3526,1.4541,1989.36903246031,0.772856283788975,0.604844048182676,0.168012235606299
3.7,1.078179,3458.76,1761,2561.1,4.3557,1.4543,1989.64265449903,0.7768939202517,0.611597341474743,0.165296578776957
3.8,1.049806,3457.72,1752,2548.1,4.3583,1.4544,1989.77946551838,0.780884813677651,0.618200477494807,0.162684336182844
3.9,1.022888,3455.35,1743,2535.2,4.3605,1.4545,1989.91627653774,0.784916921149308,0.624729794384143,0.160187126765165
4,0.997316,3451.86,1734.1,2522.4,4.3623,1.4546,1990.05308755709,0.788945385827371,0.631156308661897,0.157789077165474
