OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.32,1587.7,2246.2,3.5825,1.4148,1792.22435356785,0.797864015710615,0.478718409426369,0.319145606284246
1.6,2.49329,1988.7,1643.6,2330.3,3.6446,1.4178,1796.02465966108,0.770728095487798,0.474294212607876,0.296433882879922
1.7,2.346626,2169.79,1690.1,2401.3,3.7039,1.4208,1799.82496575431,0.749522926302434,0.471921842486718,0.277601083815716
1.8,2.216257,2339.84,1728.6,2460.7,3.7592,1.4235,1803.24524123822,0.73282928250824,0.471104538755297,0.261724743752943
1.9,2.099612,2497.86,1760,2509.7,3.8097,1.426,1806.41216298258,0.719754941899855,0.471563582624043,0.248191359275812
2,1.994632,2642.87,1785.1,2549.4,3.8552,1.4282,1809.19905411762,0.709634585033748,0.473089723355832,0.236544861677916
2.1,1.899649,2774.19,1804.5,2580.7,3.8956,1.4302,1811.7325915131,0.702005374199914,0.475552027683812,0.226453346516101
2.2,1.813302,2891.55,1818.9,2604.5,3.9314,1.4319,1813.88609829927,0.696447686922725,0.478807784759373,0.217639902163352
2.3,1.734462,2995.06,1829,2621.8,3.9626,1.4335,1815.91292821566,0.692601803031025,0.482722468779199,0.209879334251826
2.4,1.662193,3085.06,1835.2,2633.2,3.989,1.4348,1817.55972752272,0.690261932074839,0.48724371675871,0.203018215316129
2.5,1.595705,3162.12,1838.2,2639.7,4.0134,1.436,1819.07984996002,0.689135402972334,0.492239573551667,0.196895829420667
2.6,1.534332,3226.97,1838.5,2641.8,4.0335,1.437,1820.34661865776,0.68902295226747,0.497627687748729,0.191395264518742
2.7,1.477505,3280.55,1836.3,2640.3,4.0506,1.4378,1821.36003361596,0.689848444014455,0.503402918605143,0.186445525409312
2.8,1.424737,3323.99,1832.3,2635.7,4.065,1.4385,1822.24677170438,0.691354416713281,0.509419043893996,0.181935372819284
2.9,1.375608,3358.56,1826.7,2628.8,4.0771,1.4391,1823.00683292302,0.693473858730905,0.515660048799904,0.177813809931001
3,1.329754,3385.55,1819.9,2619.9,4.0872,1.4396,1823.64021727189,0.696065002331856,0.522048751748892,0.174016250582964
3.1,1.286859,3406.2,1812.2,2609.7,4.095,1.44,1824.14692475099,0.699022568007805,0.528529258737609,0.170493309270196
3.2,1.246645,3421.62,1804,2598.4,4.1027,1.4404,1824.65363223009,0.702199943316931,0.535009480622424,0.167190462694507
3.3,1.208868,3432.75,1795.3,2586.5,4.1085,1.4407,1825.03366283941,0.705602794933295,0.541509121692994,0.164093673240301
3.4,1.173313,3440.39,1786.4,2574,4.1134,1.4409,1825.28701657896,0.709118169359463,0.547954949050494,0.161163220308969
3.5,1.13979,3445.17,1777.3,2561.3,4.1176,1.4411,1825.54037031851,0.712748943759491,0.554360289590716,0.158388654168776
3.6,1.108129,3447.62,1768.2,2548.5,4.121,1.4413,1825.79372405806,0.716417089550811,0.560674243996287,0.155742845554524
3.7,1.078179,3448.15,1759.1,2535.6,4.1239,1.4414,1825.92040092783,0.720123186711241,0.566905487410977,0.153217699300264
3.8,1.049806,3447.1,1750,2522.7,4.1263,1.4416,1826.17375466738,0.72386782728214,0.573062029931694,0.150805797350446
3.9,1.022888,3444.73,1741,2509.9,4.1283,1.4416,1826.17375466738,0.727609820645459,0.579118020513733,0.148491800131726
4,0.997316,3441.27,1732.2,2497.3,4.1299,1.4417,1826.30043153716,0.731306256635345,0.585045005308276,0.146261251327069
