OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.28,1587.3,1186.9,1.0035,0.7478,75.7831705738217,0.0638452062114909,0.0383071237268946,0.0255380824845964
1.6,2.49329,1985.5,1642.4,1225.4,1.004,0.7461,75.6108900309286,0.0617032975033485,0.0379712600020606,0.0237320375012879
1.7,2.346626,2160.53,1686.9,1256.2,1.0044,0.7447,75.4690119367813,0.0600755799510934,0.0378253651543922,0.0222502147967013
1.8,2.216257,2318.76,1721.9,1280.1,1.0048,0.7434,75.337267992216,0.0588544606652532,0.0378350104276628,0.0210194502375904
1.9,2.099612,2458.36,1748.2,1297.9,1.0052,0.7424,75.2359264963965,0.0579690514926779,0.0379797233917545,0.0199893281009234
2,1.994632,2579.11,1767.1,1310.4,1.0054,0.7416,75.1548532997409,0.0573490440945615,0.038232696063041,0.0191163480315205
2.1,1.899649,2682.16,1779.8,1318.6,1.0057,0.7409,75.0839142526672,0.0569398223505447,0.0385721377213368,0.018367684629208
2.2,1.813302,2769.2,1787.4,1323.2,1.0059,0.7403,75.0231093551755,0.0566977150159447,0.038979679073462,0.0177180359424827
2.3,1.734462,2841.99,1791.1,1325,1.0061,0.7398,74.9724386072658,0.0565805905976772,0.0394349570832295,0.0171456335144476
2.4,1.662193,2902.17,1791.5,1324.6,1.0063,0.7394,74.931902008938,0.0565679574766952,0.0399303229247261,0.0166376345519692
2.5,1.595705,2951.31,1789.3,1322.3,1.0064,0.739,74.8913654106102,0.0566375095397639,0.0404553639569742,0.0161821455827897
2.6,1.534332,2990.92,1785,1318.6,1.0065,0.7387,74.8609629618643,0.0567739472378149,0.0410034063384219,0.015770540899393
2.7,1.477505,3022.47,1779.1,1313.9,1.0066,0.7385,74.8406946627004,0.0569622257430721,0.0415670295962959,0.0153951961467762
2.8,1.424737,3047.31,1772.1,1308.3,1.0067,0.7383,74.8204263635365,0.0571872331242591,0.0421379612494541,0.015049271874805
2.9,1.375608,3066.65,1764.3,1302.2,1.0067,0.7381,74.8001580643726,0.057440058844584,0.042711838628024,0.01472822021656
3,1.329754,3081.51,1755.8,1295.7,1.0068,0.738,74.7900239147907,0.0577181318028816,0.0432885988521612,0.0144295329507204
3.1,1.286859,3092.75,1747.1,1289,1.0069,0.7378,74.7697556156268,0.058005549664873,0.04385785462466,0.0141476950402129
3.2,1.246645,3101.03,1738.1,1282.2,1.0069,0.7377,74.7596214660448,0.0583059063457221,0.0444235476919787,0.0138823586537434
3.3,1.208868,3106.93,1728.9,1275.3,1.0069,0.7376,74.7494873164629,0.0586161697145581,0.0449845023390795,0.0136316673754786
3.4,1.173313,3110.86,1719.8,1268.5,1.007,0.7376,74.7494873164629,0.0589263262120593,0.0455339793456822,0.0133923468663771
3.5,1.13979,3113.19,1710.7,1261.6,1.007,0.7375,74.7393531668809,0.0592397824396443,0.0460753863419456,0.0131643960976987
3.6,1.108129,3114.19,1701.7,1254.9,1.007,0.7374,74.729219017299,0.0595530915081974,0.0466067672672849,0.0129463242409125
3.7,1.078179,3114.09,1692.9,1248.3,1.007,0.7374,74.729219017299,0.0598626592353355,0.0471259232278173,0.0127367360075182
3.8,1.049806,3113.05,1684.1,1241.7,1.0071,0.7373,74.719084867717,0.0601754621575319,0.0476389075413795,0.0125365546161525
3.9,1.022888,3111.24,1675.6,1235.3,1.0071,0.7373,74.719084867717,0.0604807208280613,0.0481377165774366,0.0123430042506248
4,0.997316,3108.77,1667.1,1229.1,1.0071,0.7372,74.7089507181351,0.0607890923276945,0.0486312738621556,0.0121578184655389
