OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.34,1587.7,2255.2,3.6737,1.4204,1871.29098860622,0.82977857633904,0.497867145803424,0.331911430535616
1.6,2.49329,1988.73,1643.6,2339.8,3.7383,1.4236,1875.50679483231,0.80155721930731,0.493265981112191,0.308291238195119
1.7,2.346626,2169.87,1690.1,2411.2,3.8001,1.4266,1879.45911316927,0.779503843354532,0.490798716186187,0.288705127168345
1.8,2.216257,2340.02,1728.7,2471,3.8578,1.4294,1883.1479436171,0.762098366202056,0.48992037827275,0.272177987929306
1.9,2.099612,2498.22,1760.1,2520.5,3.9105,1.432,1886.5732861758,0.748502611018405,0.490398262391369,0.258104348627036
2,1.994632,2643.5,1785.2,2560.6,3.9581,1.4343,1889.60339690081,0.737978627410651,0.491985751607101,0.24599287580355
2.1,1.899649,2775.17,1804.7,2592.2,4.0005,1.4364,1892.37001973668,0.730004679810214,0.494519299226274,0.23548538058394
2.2,1.813302,2892.95,1819.2,2616.4,4.0379,1.4382,1894.74141073886,0.724186150864937,0.497877978719644,0.226308172145293
2.3,1.734462,2996.92,1829.4,2633.9,4.0708,1.4398,1896.8493138519,0.720148379607245,0.50192159790808,0.218226781699165
2.4,1.662193,3087.41,1835.8,2645.6,4.0994,1.4412,1898.69372907582,0.717637784973033,0.506567848216259,0.211069936756774
2.5,1.595705,3164.95,1838.9,2652.3,4.1241,1.4424,1900.2746564106,0.716427998071398,0.511734284336713,0.204693713734685
2.6,1.534332,3230.27,1839.2,2654.6,4.1452,1.4434,1901.59209585625,0.716311138350095,0.517335822141735,0.19897531620836
2.7,1.477505,3284.28,1837.1,2653.3,4.1632,1.4443,1902.77779135734,0.717129957897498,0.523311050357634,0.193818907539864
2.8,1.424737,3328.1,1833.1,2648.8,4.1784,1.445,1903.6999989693,0.718694804240627,0.529564592598357,0.18913021164227
2.9,1.375608,3363,1827.6,2642,4.1911,1.4456,1904.49046263669,0.720857652469629,0.536022356964596,0.184835295505033
3,1.329754,3390.26,1820.8,2633.2,4.2017,1.4461,1905.14918235952,0.723549783421295,0.542662337565971,0.180887445855324
3.1,1.286859,3411.12,1813.2,2622.9,4.2106,1.4466,1905.80790208234,0.726582531245033,0.549367279721854,0.177215251523179
3.2,1.246645,3426.7,1805,2611.7,4.218,1.4469,1906.20313391604,0.729883349392517,0.556101599537156,0.173781749855361
3.3,1.208868,3437.96,1796.3,2599.7,4.2242,1.4472,1906.59836574974,0.733418385377439,0.562855970173384,0.170562415204056
3.4,1.173313,3445.68,1787.4,2587.2,4.2293,1.4475,1906.99359758343,0.737070295207281,0.569554319023808,0.167515976183473
3.5,1.13979,3450.52,1778.3,2574.5,4.2337,1.4477,1907.25708547256,0.740842065823255,0.576210495640309,0.164631570182945
3.6,1.108129,3453,1769.2,2561.6,4.2373,1.4479,1907.52057336169,0.74465263715436,0.582771629077325,0.161881008077035
3.7,1.078179,3453.55,1760.1,2548.6,4.2403,1.448,1907.65231730626,0.748502611018405,0.589246736333638,0.159255874684767
3.8,1.049806,3452.51,1751,2535.7,4.2428,1.4481,1907.78406125082,0.752392601743857,0.59564414304722,0.156748458696637
3.9,1.022888,3450.14,1742,2522.9,4.2449,1.4482,1907.91580519539,0.756279819548504,0.601936999232483,0.154342820316021
4,0.997316,3446.67,1733.2,2510.2,4.2466,1.4483,1908.04754913996,0.760119689391584,0.608095751513267,0.152023937878317
