OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.09,1587.6,2134.3,2.703,1.3444,1089.94805583788,0.510665133885107,0.306399080331064,0.204266053554043
1.6,2.49329,1988.36,1643.4,2212.6,2.7426,1.3463,1091.48844657434,0.493326011047825,0.303585237567893,0.189740773479933
1.7,2.346626,2168.83,1689.8,2278.2,2.7791,1.3482,1093.02883731079,0.47977983581252,0.302083600326401,0.177696235486119
1.8,2.216257,2337.55,1727.9,2332.5,2.8126,1.3499,1094.40708165394,0.469200744577809,0.301629050085734,0.167571694492075
1.9,2.099612,2493.31,1758.7,2376.8,2.8427,1.3515,1095.70425280043,0.460983662111785,0.302023778624963,0.158959883486822
2,1.994632,2635.03,1782.9,2412,2.8695,1.3529,1096.83927755361,0.454726550314654,0.303151033543103,0.151575516771551
2.1,1.899649,2762.13,1801.3,2439.2,2.893,1.3541,1097.81215591347,0.450081589161159,0.304893979754334,0.145187609406826
2.2,1.813302,2874.56,1814.6,2459.2,2.9135,1.3552,1098.70396107669,0.446782743610711,0.307163136232364,0.139619607378347
2.3,1.734462,2972.69,1823.5,2473.1,2.9314,1.3562,1099.51469304324,0.444602120403617,0.309874205129794,0.134727915273823
2.4,1.662193,3057.15,1828.7,2481.6,2.9468,1.357,1100.16327861649,0.443337872016184,0.312944380246718,0.130393491769466
2.5,1.595705,3128.72,1830.7,2485.6,2.96,1.3577,1100.73079099308,0.442853535017205,0.316323953583718,0.126529581433487
2.6,1.534332,3188.37,1830,2485.7,2.9712,1.3583,1101.21723017301,0.44302293254426,0.319961006837521,0.123061925706739
2.7,1.477505,3237.21,1827,2482.7,2.9807,1.3588,1101.62259615629,0.44375039220361,0.323817853770202,0.119932538433408
2.8,1.424737,3276.51,1822.3,2477,2.9886,1.3593,1102.02796213957,0.444894894669372,0.327817290809011,0.117077603860361
2.9,1.375608,3307.6,1816.2,2469.3,2.9953,1.3596,1102.27118172953,0.446389145774692,0.331930390447848,0.114458755326844
3,1.329754,3331.76,1809,2460.1,3.0009,1.3599,1102.5144013195,0.448165818991706,0.33612436424378,0.112041454747926
3.1,1.286859,3350.17,1801.1,2449.8,3.0056,1.3602,1102.75762090947,0.450131567684191,0.340343380444144,0.109788187240047
3.2,1.246645,3363.88,1792.6,2438.7,3.0095,1.3604,1102.91976730278,0.452265963715272,0.344583591402112,0.10768237231316
3.3,1.208868,3373.73,1783.8,2427,3.0128,1.3606,1103.08191369609,0.454497122186342,0.348800117026727,0.105697005159614
3.4,1.173313,3380.45,1774.8,2415,3.0156,1.3607,1103.16298689274,0.456801874327246,0.352983266525599,0.103818607801647
3.5,1.13979,3384.61,1765.7,2402.9,3.018,1.3609,1103.32513328606,0.459156123099052,0.357121429077041,0.102034694022012
3.6,1.108129,3386.67,1756.6,2390.6,3.0199,1.361,1103.40620648271,0.461534764064668,0.361201119702784,0.100333644361884
3.7,1.078179,3387.01,1747.5,2378.4,3.0216,1.3611,1103.48727967937,0.463938178286693,0.365227927587397,0.0987102506992964
3.8,1.049806,3385.92,1738.5,2366.3,3.023,1.3611,1103.48727967937,0.466339928993958,0.369185777120217,0.0971541518737413
3.9,1.022888,3383.63,1729.6,2354.3,3.0242,1.3612,1103.56835287602,0.468739573633208,0.373078436157043,0.0956611374761649
4,0.997316,3380.36,1720.8,2342.4,3.0251,1.3612,1103.56835287602,0.471136661178519,0.376909328942816,0.0942273322357039
