OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.21,1587.6,2204.6,3.206,1.3886,1477.58941149705,0.670247988224203,0.402148792934522,0.268099195289681
1.6,2.49329,1988.57,1643.5,2286.6,3.258,1.3913,1480.46244290353,0.647450992458014,0.398431379974162,0.249019612483851
1.7,2.346626,2169.44,1690,2355.5,3.3073,1.3938,1483.12265716879,0.629636512488015,0.39643780415912,0.233198708328894
1.8,2.216257,2339,1728.3,2413,3.3529,1.3961,1485.57005429283,0.615683449693193,0.395796503374195,0.219886946318997
1.9,2.099612,2496.18,1759.5,2460.2,3.3943,1.3982,1487.80463427565,0.604765959707158,0.396225973601242,0.208539986105917
2,1.994632,2639.96,1784.2,2498.2,3.4314,1.4001,1489.82639711725,0.596393737307894,0.39759582487193,0.198797912435965
2.1,1.899649,2769.68,1803.3,2527.8,3.4643,1.4018,1491.63534281763,0.590076917930874,0.399729525049947,0.190347392880927
2.2,1.813302,2885.15,1817.3,2550.2,3.4932,1.4033,1493.23147137679,0.585531120951271,0.402552645653999,0.182978475297272
2.3,1.734462,2986.58,1826.9,2566.1,3.5184,1.4046,1494.61478279472,0.582454270132325,0.405952976152833,0.176501293979493
2.4,1.662193,3074.42,1832.8,2576.4,3.5403,1.4057,1495.78527707144,0.580579280938861,0.40982066889802,0.170758612040842
2.5,1.595705,3149.32,1835.4,2581.8,3.5591,1.4067,1496.84936277754,0.579756841072652,0.414112029337608,0.165644811735043
2.6,1.534332,3212.11,1835.2,2583.1,3.5751,1.4075,1497.70063134243,0.579820022942865,0.418758905458736,0.161061117484129
2.7,1.477505,3263.8,1832.8,2580.9,3.5888,1.4082,1498.4454913367,0.580579280938861,0.423665961766196,0.156913319172665
2.8,1.424737,3305.58,1828.4,2575.9,3.6002,1.4088,1499.08394276037,0.581976430816422,0.428824738496311,0.153151692320111
2.9,1.375608,3338.74,1822.6,2568.7,3.6098,1.4093,1499.61598561342,0.583828435259928,0.434128836475331,0.149699598784597
3,1.329754,3364.58,1815.7,2559.6,3.6179,1.4097,1500.04161989586,0.586047092639062,0.439535319479297,0.146511773159766
3.1,1.286859,3384.32,1807.9,2549.3,3.6246,1.4101,1500.4672541783,0.588575532996706,0.445020524948729,0.143555008047977
3.2,1.246645,3399.04,1799.6,2538.1,3.6302,1.4104,1500.78647989013,0.591290123418952,0.450506760700154,0.140783362718798
3.3,1.208868,3409.65,1790.8,2526.2,3.6349,1.4106,1500.99929703135,0.594195725991035,0.45601067343498,0.138185052556055
3.4,1.173313,3416.91,1781.9,2513.9,3.6388,1.4108,1501.21211417257,0.597163536733119,0.461444551111956,0.135718985621164
3.5,1.13979,3421.44,1772.8,2501.4,3.6422,1.411,1501.4249313138,0.600228850465222,0.46684466147295,0.133384188992271
3.6,1.108129,3423.72,1763.7,2488.8,3.6449,1.4112,1501.63774845502,0.603325795829645,0.472168014127548,0.131157781702097
3.7,1.078179,3424.17,1754.6,2476.2,3.6473,1.4113,1501.74415702563,0.606454864986177,0.477421914989118,0.129032949997059
3.8,1.049806,3423.1,1745.5,2463.6,3.6492,1.4114,1501.85056559624,0.609616560357918,0.482613110283352,0.127003450074566
3.9,1.022888,3420.77,1736.6,2451.1,3.6508,1.4115,1501.95697416685,0.612740818901731,0.487691672187092,0.125049146714639
4,0.997316,3417.38,1727.7,2438.7,3.6522,1.4115,1501.95697416685,0.615897265789631,0.492717812631705,0.123179453157926
