OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.92,1587.5,1994,2.034,1.2561,866.313554450666,0.434447357406428,0.260668414443857,0.173778942962571
1.6,2.49329,1987.93,1643.3,2065.4,2.0571,1.2569,866.865302594572,0.419695235126091,0.258273990846825,0.161421244279266
1.7,2.346626,2167.58,1689.4,2124.7,2.078,1.2577,867.417050738478,0.408242677804371,0.257041686024975,0.151200991779397
1.8,2.216257,2334.61,1727,2173.3,2.0969,1.2585,867.968798882384,0.399354475901972,0.256727877365553,0.142626598536418
1.9,2.099612,2487.55,1756.9,2212.3,2.1137,1.2592,868.451578508302,0.392558016894931,0.257193183482886,0.135364833412045
2,1.994632,2625.32,1780.1,2242.6,2.1284,1.2598,868.865389616232,0.387441817809508,0.258294545206339,0.129147272603169
2.1,1.899649,2747.53,1797.4,2265.4,2.1412,1.2604,869.279200724162,0.383712684924171,0.259934399464761,0.12377828545941
2.2,1.813302,2854.45,1809.5,2281.5,2.1522,1.2609,869.624043314103,0.381146825024982,0.262038442204675,0.119108382820307
2.3,1.734462,2946.79,1817.2,2292,2.1617,1.2613,869.899917386056,0.379531796105385,0.264522160921935,0.11500963518345
2.4,1.662193,3025.43,1821.3,2297.8,2.1699,1.2616,870.106822940021,0.37867741716505,0.267301706234153,0.111375710930897
2.5,1.595705,3091.42,1822.2,2299.5,2.1768,1.262,870.382697011974,0.378490385184231,0.270350275131593,0.108140110052637
2.6,1.534332,3145.89,1820.6,2298,2.1827,1.2622,870.52063404795,0.378823014326434,0.273594399235758,0.105228615090676
2.7,1.477505,3190.14,1816.8,2293.7,2.1876,1.2625,870.727539601915,0.379615356606509,0.277016611577723,0.102598745028786
2.8,1.424737,3225.5,1811.5,2287.3,2.1918,1.2627,870.865476637892,0.38072601704814,0.280534959930208,0.100191057117932
2.9,1.375608,3253.32,1804.8,2279.2,2.1952,1.2628,870.93444515588,0.382139394881818,0.284154934655711,0.0979844602261072
3,1.329754,3274.86,1797.3,2269.9,2.1982,1.263,871.072382191857,0.383734034319649,0.287800525739737,0.0959335085799122
3.1,1.286859,3291.23,1789.1,2259.8,2.2006,1.2631,871.141350709845,0.385492806373431,0.291470170672594,0.0940226357008368
3.2,1.246645,3303.37,1780.5,2249,2.2027,1.2632,871.210319227833,0.387354776682227,0.295127448900744,0.0922273277814826
3.3,1.208868,3312.08,1771.6,2237.9,2.2044,1.2632,871.210319227833,0.389300733733746,0.298765679377061,0.0905350543566852
3.4,1.173313,3317.98,1762.5,2226.6,2.2059,1.2633,871.279287745821,0.391310740358982,0.302376481186486,0.0889342591724959
3.5,1.13979,3321.59,1753.4,2215.2,2.2072,1.2634,871.34825626381,0.393341610518253,0.305932363736419,0.087409246781834
3.6,1.108129,3323.32,1744.3,2203.8,2.2082,1.2634,871.34825626381,0.395393670746262,0.309438524931857,0.0859551458144048
3.7,1.078179,3323.5,1735.2,2192.4,2.2092,1.2635,871.417224781798,0.397467254427562,0.312899753485527,0.0845675009420344
3.8,1.049806,3322.39,1726.3,2181.1,2.2099,1.2635,871.417224781798,0.399516410752885,0.316283825179367,0.0832325855735176
3.9,1.022888,3320.2,1717.4,2170,2.2106,1.2635,871.417224781798,0.401586805568129,0.319630314635858,0.0819564909322713
4,0.997316,3317.12,1708.7,2159.1,2.2111,1.2636,871.486193299786,0.403631520970741,0.322905216776593,0.0807263041941482
