OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.26,1587.6,2226.6,3.3967,1.4025,2224.75196900664,0.99916598244534,0.599499589467204,0.399666392978136
1.6,2.49329,1988.64,1643.5,2309.7,3.453,1.4053,2229.19354156508,0.965181572090187,0.593957890517038,0.371223681573149
1.7,2.346626,2169.63,1690.1,2379.7,3.5081,1.4081,2233.63511412353,0.938569264380937,0.590951018313923,0.347618246067014
1.8,2.216257,2339.45,1728.5,2438.2,3.5586,1.4106,2237.60080390785,0.917718202910166,0.589961701870821,0.327756501039345
1.9,2.099612,2497.07,1759.8,2486.4,3.6045,1.4129,2241.24923850943,0.901395564115366,0.590569507523861,0.310826056591506
2,1.994632,2641.5,1784.7,2525.3,3.6458,1.415,2244.58041792826,0.888819361086021,0.592546240724014,0.296273120362007
2.1,1.899649,2772.07,1803.9,2555.8,3.6825,1.4168,2247.43571457298,0.879359118426865,0.595694886676263,0.283664231750602
2.2,1.813302,2888.53,1818.1,2578.9,3.7147,1.4184,2249.97375603495,0.872491014647281,0.599837572570006,0.272653442077275
2.3,1.734462,2991.05,1828,2595.5,3.743,1.4199,2252.35316990554,0.867765817139071,0.60480647861208,0.262959338526991
2.4,1.662193,3080.02,1834.1,2606.4,3.7675,1.4211,2254.25670100202,0.864879730510998,0.610503339184234,0.254376391326764
2.5,1.595705,3156.04,1836.9,2612.4,3.7886,1.4222,2256.00160450712,0.863561388061529,0.616829562901092,0.246731825160437
2.6,1.534332,3219.9,1836.9,2614.1,3.8067,1.4231,2257.42925282948,0.863561388061529,0.623683224711104,0.239878163350425
2.7,1.477505,3272.57,1834.6,2612.2,3.8221,1.4239,2258.69827356046,0.864644017077413,0.630956444894328,0.233687572183085
2.8,1.424737,3315.21,1830.4,2607.5,3.835,1.4245,2259.6500391087,0.866628012308906,0.63856800906972,0.228060003239186
2.9,1.375608,3349.09,1824.7,2600.4,3.8458,1.4251,2260.60180465694,0.869335185910134,0.646428727984459,0.222906457925675
3,1.329754,3375.53,1817.9,2591.4,3.8549,1.4255,2261.23631502243,0.87258700353717,0.654440252652878,0.218146750884292
3.1,1.286859,3395.74,1810.2,2581.1,3.8624,1.4259,2261.87082538792,0.876298703861574,0.662567312675824,0.21373139118575
3.2,1.246645,3410.82,1801.9,2569.9,3.8688,1.4262,2262.34670816204,0.880335153854388,0.670731545793819,0.209603608060569
3.3,1.208868,3421.7,1793.2,2558,3.874,1.4265,2262.82259093616,0.884606242321114,0.678883860385971,0.205722381935143
3.4,1.173313,3429.15,1784.2,2545.6,3.8785,1.4267,2263.13984611891,0.889068441727509,0.687007432243984,0.202061009483525
3.5,1.13979,3433.81,1775.2,2533,3.8822,1.4269,2263.45710130165,0.893575886508687,0.695003467284535,0.198572419224153
3.6,1.108129,3436.18,1766,2520.2,3.8853,1.4271,2263.7743564844,0.898230981727192,0.70296337700389,0.195267604723303
3.7,1.078179,3436.67,1756.9,2507.5,3.8879,1.4272,2263.93298407577,0.902883438858342,0.71078057952678,0.192102859331562
3.8,1.049806,3435.61,1747.8,2494.7,3.8901,1.4273,2264.09161166715,0.907584342447775,0.718504271104489,0.189080071343287
3.9,1.022888,3433.26,1738.9,2482.1,3.8919,1.4274,2264.25023925852,0.912229520806384,0.726060230845898,0.186169289960487
4,0.997316,3429.83,1730,2469.6,3.8933,1.4275,2264.40886684989,0.916922493485677,0.733537994788542,0.183384498697135
