OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.21,1587.6,2204.6,3.206,1.3886,2011.16336564876,0.912281983971832,0.5473691903831,0.364912793588733
1.6,2.49329,1988.57,1643.5,2286.6,3.258,1.3913,2015.0738806187,0.881252739734518,0.542309378298165,0.338943361436353
1.7,2.346626,2169.44,1690,2355.5,3.3073,1.3938,2018.69472781308,0.857005253108687,0.53959590010547,0.317409353003217
1.8,2.216257,2339,1728.3,2413,3.3529,1.3961,2022.02590723191,0.838013584304624,0.538723018481544,0.29929056582308
1.9,2.099612,2496.18,1759.5,2460.2,3.3943,1.3982,2025.0674188752,0.823153667379188,0.539307575179468,0.28384609219972
2,1.994632,2639.96,1784.2,2498.2,3.4314,1.4001,2027.81926274293,0.811758142446856,0.541172094964571,0.270586047482285
2.1,1.899649,2769.68,1803.3,2527.8,3.4643,1.4018,2030.28143883511,0.803160249405912,0.54407629798465,0.259083951421262
2.2,1.813302,2885.15,1817.3,2550.2,3.4932,1.4033,2032.45394715174,0.796972914628119,0.547918878806832,0.249054035821287
2.3,1.734462,2986.58,1826.9,2566.1,3.5184,1.4046,2034.33678769282,0.792784978791221,0.552547106430245,0.240237872360976
2.4,1.662193,3074.42,1832.8,2576.4,3.5403,1.4057,2035.92996045835,0.790232910166784,0.557811466000082,0.232421444166701
2.5,1.595705,3149.32,1835.4,2581.8,3.5591,1.4067,2037.3782993361,0.789113478126665,0.563652484376189,0.225460993750476
2.6,1.534332,3212.11,1835.2,2583.1,3.5751,1.4075,2038.53697043831,0.789199475672232,0.569977399096612,0.21922207657562
2.7,1.477505,3263.8,1832.8,2580.9,3.5888,1.4082,2039.55080765273,0.790232910166784,0.576656447959545,0.213576462207239
2.8,1.424737,3305.58,1828.4,2575.9,3.6002,1.4088,2040.41981097939,0.792134586389018,0.583678116286645,0.208456470102373
2.9,1.375608,3338.74,1822.6,2568.7,3.6098,1.4093,2041.14398041826,0.794655370214902,0.590897582980312,0.20375778723459
3,1.329754,3364.58,1815.7,2559.6,3.6179,1.4097,2041.72331596936,0.79767520942539,0.598256407069043,0.199418802356347
3.1,1.286859,3384.32,1807.9,2549.3,3.6246,1.4101,2042.30265152047,0.801116697689961,0.605722381180215,0.195394316509747
3.2,1.246645,3399.04,1799.6,2538.1,3.6302,1.4104,2042.73715318379,0.804811556875795,0.613189757619653,0.191621799256142
3.3,1.208868,3409.65,1790.8,2526.2,3.6349,1.4106,2043.02682095934,0.808766404821131,0.620681194397612,0.188085210423519
3.4,1.173313,3416.91,1781.9,2513.9,3.6388,1.4108,2043.31648873489,0.812805924997857,0.628077305680162,0.184728619317695
3.5,1.13979,3421.44,1772.8,2501.4,3.6422,1.411,2043.60615651044,0.816978157577663,0.635427455893738,0.181550701683925
3.6,1.108129,3423.72,1763.7,2488.8,3.6449,1.4112,2043.89582428599,0.821193444323684,0.642673130340274,0.178520313983409
3.7,1.078179,3424.17,1754.6,2476.2,3.6473,1.4113,2044.04065817377,0.825452455120073,0.649824273179632,0.175628181940441
3.8,1.049806,3423.1,1745.5,2463.6,3.6492,1.4114,2044.18549206155,0.829755873820499,0.656890066774562,0.172865807045937
3.9,1.022888,3420.77,1736.6,2451.1,3.6508,1.4115,2044.33032594932,0.834008336838467,0.663802553810208,0.170205783028259
4,0.997316,3417.38,1727.7,2438.7,3.6522,1.4115,2044.33032594932,0.83830461176922,0.670643689415376,0.167660922353844
