OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.98,1587.6,2051.6,2.2675,1.2923,1069.5361895549,0.521303990841047,0.312782394504628,0.208521596336419
1.6,2.49329,1988.11,1643.3,2125.7,2.2958,1.2935,1070.52933621394,0.503634282151309,0.30992878901619,0.193705493135119
1.7,2.346626,2168.1,1689.5,2187.5,2.322,1.2947,1071.52248287297,0.48986221714072,0.308431766347861,0.181430450792859
1.8,2.216257,2335.82,1727.3,2238.4,2.3457,1.2959,1072.515629532,0.479142138516324,0.308019946189065,0.171122192327259
1.9,2.099612,2489.91,1757.6,2279.5,2.3669,1.2969,1073.34325174786,0.470882007202575,0.308508901270653,0.162373105931923
2,1.994632,2629.27,1781.3,2311.7,2.3855,1.2978,1074.08811174213,0.464616974041007,0.309744649360672,0.154872324680336
2.1,1.899649,2753.43,1799,2336.2,2.4018,1.2986,1074.75020951482,0.460045700866729,0.311643861877462,0.148401838989268
2.2,1.813302,2862.52,1811.5,2353.8,2.416,1.2993,1075.32954506592,0.456871220457768,0.314098964064715,0.142772256393052
2.3,1.734462,2957.11,1819.7,2365.6,2.4282,1.3,1075.90888061702,0.454812450326563,0.31699049568215,0.137821954644413
2.4,1.662193,3038,1824.2,2372.4,2.4386,1.3005,1076.32269172495,0.453690503157135,0.320252119875625,0.13343838328151
2.5,1.595705,3106.13,1825.6,2375,2.4476,1.301,1076.73650283288,0.453342580992138,0.323816129280098,0.129526451712039
2.6,1.534332,3162.57,1824.3,2374,2.4552,1.3013,1076.98478949764,0.453665633864631,0.327647402235567,0.126018231629064
2.7,1.477505,3208.55,1820.8,2370.2,2.4616,1.3017,1077.31583838398,0.454537684456967,0.33168966163076,0.122848022826207
2.8,1.424737,3245.39,1815.7,2364,2.4669,1.302,1077.56412504874,0.455814405385937,0.335863246073848,0.119951159312089
2.9,1.375608,3274.43,1809.3,2356,2.4714,1.3022,1077.72964949191,0.457426748388463,0.340137838545267,0.117288909843196
3,1.329754,3296.94,1801.9,2346.7,2.4752,1.3024,1077.89517393508,0.459305297663159,0.344478973247369,0.11482632441579
3.1,1.286859,3314.07,1793.8,2336.5,2.4784,1.3025,1077.97793615667,0.461379315341312,0.348847775014163,0.112531540327149
3.2,1.246645,3326.79,1785.2,2325.6,2.481,1.3027,1078.14346059984,0.463601958245152,0.353220539615354,0.110381418629798
3.3,1.208868,3335.92,1776.3,2314.2,2.4833,1.3028,1078.22622282143,0.46592479640784,0.357570192592063,0.108354603815777
3.4,1.173313,3342.13,1767.3,2302.6,2.4852,1.3029,1078.30898504301,0.46829752495855,0.361866269286153,0.106431255672398
3.5,1.13979,3345.94,1758.2,2290.9,2.4868,1.303,1078.3917472646,0.470721314901175,0.36611657825647,0.104604736644706
3.6,1.108129,3347.79,1749.1,2279.1,2.4882,1.3031,1078.47450948618,0.473170325229687,0.370307211049321,0.102863114180367
3.7,1.078179,3348.02,1740,2267.4,2.4893,1.3031,1078.47450948618,0.475644951643245,0.374443898102129,0.101201053541116
3.8,1.049806,3346.92,1731,2255.8,2.4903,1.3032,1078.55727170777,0.478117975655255,0.37851006406041,0.0996079115948447
3.9,1.022888,3344.69,1722.1,2244.3,2.4911,1.3032,1078.55727170777,0.480588941327011,0.382509565545989,0.0980793757810227
4,0.997316,3341.53,1713.4,2233,2.4918,1.3032,1078.55727170777,0.48302919099991,0.386423352799928,0.096605838199982
