OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.16,1587.6,2179.6,3.0098,1.3729,1799.05068857584,0.825397985498325,0.495238791298995,0.33015919419933
1.6,2.49329,1988.5,1643.5,2260.2,3.056,1.3752,1802.06461281192,0.79732390737885,0.490660866079292,0.306663041299558
1.7,2.346626,2169.23,1689.9,2327.9,3.1009,1.3775,1805.07853704801,0.775431588719534,0.488234704008595,0.287196884710938
1.8,2.216257,2338.49,1728.2,2384.2,3.1417,1.3796,1807.83038091574,0.758246639148906,0.487444268024297,0.270802371124609
1.9,2.099612,2495.16,1759.2,2430.4,3.1785,1.3815,1810.32014441512,0.744885085139347,0.488028159229228,0.25685692591012
2,1.994632,2638.2,1783.8,2467.4,3.2115,1.3832,1812.54782754614,0.734612536033827,0.489741690689218,0.244870845344609
2.1,1.899649,2766.97,1802.6,2496.1,3.2406,1.3848,1814.64447049298,0.726950982900888,0.492450665836085,0.234500317064802
2.2,1.813302,2881.34,1816.3,2517.6,3.2661,1.3861,1816.34799288729,0.72146773208013,0.496009065805089,0.225458666275041
2.3,1.734462,2981.56,1825.7,2532.7,3.2883,1.3873,1817.92047509743,0.71775310389283,0.500252163319245,0.217500940573585
2.4,1.662193,3068.16,1831.3,2542.4,3.3076,1.3883,1819.2308769392,0.715558260130585,0.505099948327472,0.210458311803113
2.5,1.595705,3141.83,1833.7,2547.3,3.3241,1.3892,1820.4102385968,0.714621716626024,0.510444083304303,0.204177633321721
2.6,1.534332,3203.45,1833.3,2548.1,3.3382,1.3899,1821.32751988605,0.714777636926384,0.516228293335722,0.198549343590662
2.7,1.477505,3254.08,1830.7,2545.6,3.3501,1.3905,1822.11376099111,0.715792779689266,0.52233527166514,0.193457508024126
2.8,1.424737,3294.93,1826.2,2540.4,3.3602,1.3911,1822.90000209618,0.717556588422484,0.528725907258672,0.188830681163812
2.9,1.375608,3327.3,1820.3,2532.9,3.3686,1.3915,1823.42416283289,0.719882350039631,0.535297132080751,0.18458521795888
3,1.329754,3352.51,1813.2,2523.8,3.3756,1.3919,1823.9483235696,0.722701214304622,0.542025910728466,0.180675303576155
3.1,1.286859,3371.75,1805.4,2513.5,3.3815,1.3922,1824.34144412213,0.725823552551866,0.548793417783119,0.177030134768748
3.2,1.246645,3386.09,1797,2502.3,3.3864,1.3925,1824.73456467467,0.729216383849271,0.55559343531373,0.173622948535541
3.3,1.208868,3396.41,1788.3,2490.5,3.3906,1.3927,1824.99664504302,0.732763989138925,0.562353759106617,0.170410230032308
3.4,1.173313,3403.47,1779.3,2478.3,3.394,1.3929,1825.25872541138,0.736470433191221,0.569090789284125,0.167379643907096
3.5,1.13979,3407.85,1770.2,2465.9,3.397,1.393,1825.38976559556,0.740256378814337,0.57575496130004,0.164501417514297
3.6,1.108129,3410.06,1761.1,2453.4,3.3994,1.3932,1825.65184596391,0.744081450103424,0.582324613124419,0.161756836979005
3.7,1.078179,3410.46,1752,2440.9,3.4015,1.3933,1825.78288614809,0.747946256722112,0.588808755291875,0.159137501430237
3.8,1.049806,3409.38,1742.9,2428.5,3.4032,1.3934,1825.91392633227,0.751851421066693,0.595215708344466,0.156635712722228
3.9,1.022888,3407.07,1734,2416.2,3.4046,1.3934,1825.91392633227,0.755710404715767,0.601483791508468,0.154226613207299
4,0.997316,3403.72,1725.2,2404,3.4058,1.3935,1826.04496651644,0.759565176082274,0.60765214086582,0.151913035216455
