OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.24,1587.6,2216,3.302,1.3958,2117.85766297662,0.955723983208586,0.573434389925152,0.382289593283434
1.6,2.49329,1988.61,1643.5,2298.5,3.3566,1.3985,2121.95439294512,0.923217155912353,0.568133634407602,0.355083521504751
1.7,2.346626,2169.54,1690,2368,3.4084,1.4011,2125.89939217405,0.897815027066243,0.565290942967635,0.332524084098609
1.8,2.216257,2339.23,1728.4,2426,3.4564,1.4036,2129.6926606634,0.877868199341559,0.56434384243386,0.3135243569077
1.9,2.099612,2496.64,1759.6,2473.7,3.5001,1.4058,2133.03073693404,0.862302452683537,0.564956779344386,0.297345673339151
2,1.994632,2640.75,1784.5,2512.1,3.5393,1.4078,2136.06535172552,0.85027032543679,0.566846883624527,0.283423441812263
2.1,1.899649,2770.91,1803.6,2542.2,3.574,1.4095,2138.64477429828,0.841266021147678,0.569889885293588,0.27137613585409
2.2,1.813302,2886.89,1817.7,2565,3.6046,1.4111,2141.07246613147,0.834740273830638,0.573883938258564,0.260856335572075
2.3,1.734462,2988.88,1827.5,2581.2,3.6313,1.4125,2143.19669648551,0.830263964838277,0.578668823978193,0.251595140860084
2.4,1.662193,3077.3,1833.4,2591.8,3.6545,1.4136,2144.86573462082,0.827592121600279,0.584182674070785,0.243409447529494
2.5,1.595705,3152.77,1836.1,2597.5,3.6745,1.4147,2146.53477275614,0.826375140646997,0.590267957604998,0.236107183041999
2.6,1.534332,3216.1,1836.1,2599,3.6916,1.4155,2147.74861867273,0.826375140646997,0.596826490467276,0.229548650179721
2.7,1.477505,3268.29,1833.7,2597,3.706,1.4163,2148.96246458933,0.827456724514343,0.603819771942899,0.223636952571444
2.8,1.424737,3310.51,1829.4,2592.2,3.7182,1.4169,2149.87284902677,0.829401659419455,0.611138064835388,0.218263594584067
2.9,1.375608,3344.04,1823.7,2585,3.7284,1.4174,2150.63150272464,0.83199396597135,0.61866217982485,0.2133317861465
3,1.329754,3370.18,1816.8,2576,3.737,1.4179,2151.39015642251,0.835153784534319,0.62636533840074,0.20878844613358
3.1,1.286859,3390.16,1809.1,2565.7,3.7441,1.4182,2151.84534864124,0.838708416196977,0.634145387856251,0.204563028340726
3.2,1.246645,3405.06,1800.8,2554.4,3.7501,1.4185,2152.30054085996,0.842574075822941,0.641961200627002,0.200612875195938
3.3,1.208868,3415.81,1792,2542.5,3.7551,1.4188,2152.75573307868,0.846711716373857,0.649802014891565,0.196909701482292
3.4,1.173313,3423.17,1783.1,2530.2,3.7593,1.419,2153.05919455783,0.850937914722647,0.657542934103863,0.193394980618783
3.5,1.13979,3427.76,1774,2517.6,3.7628,1.4192,2153.36265603698,0.855302928828608,0.66523561131114,0.190067317517469
3.6,1.108129,3430.09,1764.9,2505,3.7657,1.4193,2153.51438677655,0.859712955828631,0.67281883499632,0.186894120832311
3.7,1.078179,3430.56,1755.8,2492.2,3.7682,1.4195,2153.8178482557,0.864168695604255,0.680303015688456,0.183865679915799
3.8,1.049806,3429.49,1746.7,2479.6,3.7702,1.4196,2153.96957899527,0.86867086262206,0.687697766242464,0.180973096379596
3.9,1.022888,3427.15,1737.7,2467,3.7719,1.4197,2154.12130973485,0.873169934823014,0.694971988940766,0.178197945882248
4,0.997316,3423.75,1728.9,2454.6,3.7734,1.4197,2154.12130973485,0.877614318781856,0.702091455025485,0.175522863756371
