OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.95,1587.5,2024.6,2.152,1.2753,967.511060894855,0.477892093147071,0.286735255888243,0.191156837258828
1.6,2.49329,1988.02,1643.3,2097.5,2.1779,1.2764,968.345579962513,0.4616647586387,0.284101389931508,0.177563368707192
1.7,2.346626,2167.85,1689.5,2158.1,2.2015,1.2774,969.104233660384,0.449040365712327,0.282729119152206,0.166311246560121
1.8,2.216257,2335.25,1727.2,2207.9,2.2228,1.2783,969.787021988468,0.439239056201352,0.282367964700869,0.156871091500483
1.9,2.099612,2488.81,1757.3,2248,2.2417,1.2792,970.469810316552,0.43171552829396,0.282848104744319,0.148867423549641
2,1.994632,2627.42,1780.7,2279.3,2.2584,1.28,971.076733274849,0.42604239786094,0.284028265240627,0.142014132620313
2.1,1.899649,2750.65,1798.2,2303,2.2729,1.2807,971.607790863359,0.421896172767754,0.285800633165253,0.136095539602501
2.2,1.813302,2858.71,1810.6,2319.9,2.2855,1.2813,972.062983082081,0.419006792152312,0.288067169604714,0.130939622547597
2.3,1.734462,2952.23,1818.6,2331.1,2.2964,1.2818,972.442309931017,0.41716358620421,0.29075037826354,0.12641320794067
2.4,1.662193,3032.04,1822.8,2337.4,2.3057,1.2823,972.821636779952,0.416202379784384,0.293789915141918,0.122412464642466
2.5,1.595705,3099.14,1824,2339.5,2.3136,1.2827,973.125098259101,0.415928562429263,0.297091830306616,0.118836732122647
2.6,1.534332,3154.64,1822.5,2338.3,2.3203,1.283,973.352694368462,0.416270890464184,0.300640087557466,0.115630802906718
2.7,1.477505,3199.78,1818.9,2334.2,2.326,1.2833,973.580290477823,0.417094781390387,0.304366462095688,0.112728319294699
2.8,1.424737,3235.91,1813.7,2327.9,2.3307,1.2835,973.732021217397,0.418290620207849,0.308214141205783,0.110076479002066
2.9,1.375608,3264.36,1807.2,2319.9,2.3347,1.2837,973.883751956972,0.419795096210146,0.312155327951134,0.107639768259012
3,1.329754,3286.4,1799.7,2310.6,2.338,1.2839,974.035482696546,0.421544534017323,0.316158400512992,0.105386133504331
3.1,1.286859,3303.16,1791.6,2300.4,2.3408,1.284,974.111348066333,0.42345037836067,0.320169798272701,0.103280580087968
3.2,1.246645,3315.61,1783,2289.5,2.3432,1.2841,974.18721343612,0.425492819893985,0.324185005633513,0.101307814260473
3.3,1.208868,3324.53,1774.1,2278.3,2.3452,1.2842,974.263078805907,0.427627359151669,0.328179136093141,0.0994482230585276
3.4,1.173313,3330.59,1765,2266.8,2.3469,1.2843,974.338944175694,0.429832123439646,0.33214300447609,0.097689118963556
3.5,1.13979,3334.3,1755.9,2255.2,2.3483,1.2844,974.414809545481,0.432059740230637,0.336046464623829,0.0960132756068082
3.6,1.108129,3336.09,1746.8,2243.6,2.3495,1.2844,974.414809545481,0.434310566676767,0.339895226094861,0.0944153405819058
3.7,1.078179,3336.3,1737.7,2232.1,2.3506,1.2845,974.490674915268,0.436584967411507,0.343694548813314,0.092890418598193
3.8,1.049806,3335.19,1728.7,2220.6,2.3515,1.2845,974.490674915268,0.438857926691141,0.34742919196382,0.091428734727321
3.9,1.022888,3332.99,1719.9,2209.3,2.3522,1.2846,974.566540285055,0.441103376865501,0.351082279546011,0.09002109731949
4,0.997316,3329.86,1711.2,2198.2,2.3528,1.2846,974.566540285055,0.443346013248583,0.354676810598867,0.0886692026497167
