OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.46,1587.7,2286.9,4.0286,1.4404,2189.58435867611,0.957436818852739,0.574462091311643,0.382974727541095
1.6,2.49329,1988.83,1643.6,2373.2,4.1029,1.4439,2194.90478720663,0.924873714585357,0.569153055129451,0.355720659455907
1.7,2.346626,2170.13,1690.2,2446.3,4.1746,1.4473,2200.07320349343,0.899374297297653,0.56627270570593,0.333101591591723
1.8,2.216257,2340.65,1728.9,2507.6,4.2418,1.4504,2204.78558304903,0.879242545718372,0.565227350818953,0.314015194899419
1.9,2.099612,2499.49,1760.5,2558.5,4.3036,1.4533,2209.19393811718,0.863460628964779,0.565715584494165,0.297745044470613
2,1.994632,2645.72,1785.9,2600,4.3596,1.4559,2213.14625645414,0.851180042159411,0.567453361439608,0.283726680719804
2.1,1.899649,2778.64,1805.6,2633,4.4097,1.4582,2216.64253805991,0.841893241743738,0.570314776665113,0.271578465078625
2.2,1.813302,2897.92,1820.5,2658.4,4.4541,1.4603,2219.83479517823,0.835002712053004,0.57406436453644,0.260938347516564
2.3,1.734462,3003.55,1831,2677,4.4932,1.4621,2222.57101556535,0.830214329487981,0.578634229643138,0.251580099844843
2.4,1.662193,3095.81,1837.7,2689.8,4.5273,1.4636,2224.85119922129,0.827187482882132,0.583897046740328,0.243290436141803
2.5,1.595705,3175.14,1841.2,2697.3,4.5569,1.465,2226.9793706335,0.825615053928141,0.589725038520101,0.23589001540804
2.6,1.534332,3242.18,1841.8,2700.3,4.5823,1.4662,2228.80351755825,0.825346094740196,0.596083290645697,0.229262804094499
2.7,1.477505,3297.79,1840,2699.5,4.6039,1.4672,2230.32363999555,0.826153498528529,0.602868769196494,0.223284729332035
2.8,1.424737,3343.04,1836.2,2695.5,4.6221,1.468,2231.53973794538,0.827863216039916,0.61000447497678,0.217858741063136
2.9,1.375608,3379.14,1830.8,2689,4.6374,1.4687,2232.60382365148,0.830305023646763,0.617406299634772,0.21289872401199
3,1.329754,3407.4,1824.2,2680.4,4.6502,1.4693,2233.51589711386,0.833309087431473,0.624981815573605,0.208327271857868
3.1,1.286859,3429.06,1816.7,2670.2,4.6609,1.4698,2234.27595833251,0.836749291183185,0.632664098211677,0.204085192971509
3.2,1.246645,3445.25,1808.6,2659,4.6698,1.4702,2234.88400730742,0.840496758427786,0.640378482611646,0.200118275816139
3.3,1.208868,3456.96,1800,2646.9,4.6772,1.4705,2235.34004403861,0.844512465162496,0.648114217450288,0.196398247712208
3.4,1.173313,3465.01,1791.1,2634.4,4.6834,1.4708,2235.7960807698,0.848708858965157,0.655820481927621,0.192888377037536
3.5,1.13979,3470.08,1782,2621.5,4.6885,1.4711,2236.25211750099,0.853042894103531,0.663477806524969,0.189565087578562
3.6,1.108129,3472.71,1772.9,2608.4,4.6928,1.4713,2236.55614198845,0.857421421000898,0.671025459913747,0.186395961087152
3.7,1.078179,3473.33,1763.8,2595.2,4.6964,1.4714,2236.70815423217,0.861845128298273,0.678473824405023,0.183371303893249
3.8,1.049806,3472.31,1754.7,2582.1,4.6994,1.4716,2237.01217871963,0.866314718922034,0.685832485813277,0.180482233108757
3.9,1.022888,3469.91,1745.7,2569.1,4.7018,1.4717,2237.16419096336,0.870781026117026,0.693070612623756,0.177710413493271
4,0.997316,3466.38,1736.8,2556.1,4.7038,1.4718,2237.31620320709,0.875243227367856,0.700194581894285,0.175048645473571
