OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.6,1587.4,1623.5,1.2481,1.0227,207.283895549204,0.127682368425727,0.0766094210554362,0.0510729473702908
1.6,2.49329,1986.77,1642.9,1678.5,1.2542,1.0217,207.081212557565,0.123369037457544,0.0759194076661809,0.0474496297913631
1.7,2.346626,2164.19,1688.2,1723.4,1.2597,1.0209,206.919066164254,0.120058637388342,0.0755924753926598,0.0444661619956822
1.8,2.216257,2326.85,1724.5,1759.3,1.2646,1.0202,206.777188070107,0.117531453545375,0.0755559344220267,0.0419755191233482
1.9,2.099612,2472.92,1752.6,1786.9,1.2687,1.0196,206.655578275123,0.115647033914755,0.0757687463579427,0.039878287556812
2,1.994632,2601.6,1773.5,1807.3,1.2723,1.0191,206.554236779304,0.114284179102903,0.0761894527352689,0.0380947263676344
2.1,1.899649,2713.23,1788.2,1821.6,1.2754,1.0187,206.473163582648,0.113344699496141,0.0767818932070632,0.0365628062890777
2.2,1.813302,2808.88,1797.8,1830.8,1.278,1.0183,206.392090385993,0.112739454688508,0.077508375098349,0.0352310795901586
2.3,1.734462,2889.89,1803.1,1835.7,1.2802,1.0181,206.351553787665,0.112408070344961,0.0783450187252758,0.0340630516196851
2.4,1.662193,2957.65,1805,1837.2,1.282,1.0178,206.290748890173,0.112289746060387,0.0792633501602734,0.0330263959001139
2.5,1.595705,3013.54,1804.1,1835.9,1.2836,1.0176,206.250212291845,0.112345763338506,0.0802469738132187,0.0320987895252875
2.6,1.534332,3059,1800.8,1832.3,1.2849,1.0175,206.229943992682,0.112551639070968,0.081287294884588,0.03126434418638
2.7,1.477505,3095.45,1795.8,1826.9,1.2861,1.0173,206.189407394354,0.112865013720347,0.0823609559580911,0.0305040577622559
2.8,1.424737,3124.3,1789.4,1820.2,1.287,1.0172,206.16913909519,0.113268688744271,0.0834611390747262,0.0298075496695451
2.9,1.375608,3146.84,1782,1812.5,1.2878,1.0171,206.148870796026,0.113739052547138,0.0845751929196664,0.0291638596274712
3,1.329754,3164.19,1773.9,1804.1,1.2885,1.017,206.128602496862,0.114258408951462,0.0856938067135968,0.0285646022378656
3.1,1.286859,3177.33,1765.3,1795.2,1.289,1.017,206.128602496862,0.114815040865008,0.0868113723613477,0.0280036685036606
3.2,1.246645,3187.05,1756.4,1786.1,1.2895,1.0169,206.108334197698,0.115396829673764,0.0879213940371535,0.0274754356366105
3.3,1.208868,3193.97,1747.4,1776.8,1.2899,1.0168,206.088065898534,0.115991182121437,0.0890164886048238,0.0269746935166133
3.4,1.173313,3198.62,1738.3,1767.5,1.2903,1.0168,206.088065898534,0.116598395926479,0.0900987604886432,0.0264996354378362
3.5,1.13979,3201.41,1729.2,1758.1,1.2906,1.0168,206.088065898534,0.117212000716516,0.0911648894461789,0.0260471112703368
3.6,1.108129,3202.66,1720.1,1748.9,1.2908,1.0167,206.06779759937,0.117832097923957,0.0922164244622275,0.0256156734617299
3.7,1.078179,3202.64,1711.1,1739.7,1.2911,1.0167,206.06779759937,0.11845186817778,0.0932493430335714,0.0252025251442085
3.8,1.049806,3201.55,1702.3,1730.7,1.2913,1.0167,206.06779759937,0.119064202337425,0.094259160183795,0.0248050421536303
3.9,1.022888,3199.57,1693.6,1721.8,1.2914,1.0167,206.06779759937,0.119675833513816,0.0952521940212007,0.0244236394926155
4,0.997316,3196.84,1685.1,1713.1,1.2916,1.0166,206.047529300206,0.120279503672779,0.0962236029382228,0.0240559007345557
