OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1796.69,1587.4,1729.1,1.3888,1.0893,275.978228490452,0.159602960532159,0.0957617763192953,0.0638411842128635
1.6,2.49329,1987.1,1643,1788.6,1.3978,1.0886,275.800880872768,0.154201910863511,0.0948934836083146,0.0593084272551966
1.7,2.346626,2165.15,1688.5,1837.3,1.4058,1.0881,275.674204002994,0.150046632839058,0.0944738058616289,0.0555728269774288
1.8,2.216257,2329.02,1725.2,1876.5,1.4129,1.0877,275.572862507174,0.146854706439108,0.0944065969965693,0.0524481094425385
1.9,2.099612,2476.94,1753.8,1907,1.419,1.0874,275.49685638531,0.144459881143089,0.0946461290247822,0.0498137521183064
2,1.994632,2607.99,1775.3,1929.9,1.4244,1.0871,275.420850263445,0.142710381089815,0.0951402540598768,0.0475701270299384
2.1,1.899649,2722.3,1790.6,1946.2,1.4289,1.0869,275.370179515535,0.141490974840137,0.0958487248917055,0.0456422499484312
2.2,1.813302,2820.73,1800.8,1957,1.4328,1.0867,275.319508767625,0.14068954883871,0.0967240648266131,0.0439654840120969
2.3,1.734462,2904.47,1806.8,1963.2,1.4361,1.0866,275.294173393671,0.140222348654388,0.0977307278500282,0.0424916208043601
2.4,1.662193,2974.8,1809.2,1965.5,1.4389,1.0864,275.243502645761,0.140036336252901,0.0988491785314596,0.0411871577214415
2.5,1.595705,3033.04,1808.6,1964.8,1.4413,1.0863,275.218167271806,0.140082793071298,0.10005913790807,0.0400236551632279
2.6,1.534332,3080.56,1805.8,1961.5,1.4433,1.0862,275.192831897851,0.14029999975011,0.101327777597302,0.0389722221528084
2.7,1.477505,3118.77,1801,1956.2,1.445,1.0862,275.192831897851,0.140673925346335,0.102653945523001,0.0380199798233337
2.8,1.424737,3149.07,1794.9,1949.4,1.4464,1.0861,275.167496523896,0.141152008217031,0.10400674289676,0.0371452653202713
2.9,1.375608,3172.77,1787.6,1941.5,1.4476,1.0861,275.167496523896,0.141728428926353,0.105387806124724,0.036340622801629
3,1.329754,3191.04,1779.7,1932.7,1.4486,1.086,275.142161149941,0.142357554390487,0.106768165792865,0.0355893885976216
3.1,1.286859,3204.89,1771.2,1923.4,1.4494,1.086,275.142161149941,0.14304072919419,0.1081527464639,0.0348879827302902
3.2,1.246645,3215.13,1762.3,1913.8,1.4501,1.0859,275.116825775986,0.143763116125943,0.109533802762623,0.0342293133633197
3.3,1.208868,3222.44,1753.3,1903.9,1.4508,1.0859,275.116825775986,0.144501077709889,0.110896175916892,0.0336049017929975
3.4,1.173313,3227.36,1744.2,1894,1.4513,1.0859,275.116825775986,0.145254981968094,0.112242486066254,0.0330124959018395
3.5,1.13979,3230.32,1735.1,1884.1,1.4517,1.0859,275.116825775986,0.146016794160999,0.113568617680777,0.0324481764802219
3.6,1.108129,3231.67,1726,1874.2,1.4521,1.0859,275.116825775986,0.146786639367757,0.114876500374766,0.0319101389929907
3.7,1.078179,3231.68,1717,1864.4,1.4525,1.0858,275.091490402031,0.14755605098937,0.116161146523547,0.0313949044658235
3.8,1.049806,3230.59,1708.2,1854.8,1.4528,1.0858,275.091490402031,0.148316203927379,0.117416994775842,0.0308992091515373
3.9,1.022888,3228.56,1699.4,1845.3,1.453,1.0858,275.091490402031,0.149084229462604,0.118658876511052,0.0304253529515518
4,0.997316,3225.74,1690.9,1835.9,1.4532,1.0858,275.091490402031,0.149833662279702,0.119866929823762,0.0299667324559405
